"MDBT40",,,,
,,,,
"Pin","Unit","Type","Name","Side"
1,1,"power_in","GND","left"
2,1,"power_in","GND","left"
3,1,"power_in","AVDD","left"
4,1,"bidirectional","P0.21","left"
5,1,"bidirectional","P0.22","left"
6,1,"bidirectional","P0.23","left"
7,1,"bidirectional","P0.24","left"
8,1,"bidirectional","P0.25","left"
9,1,"bidirectional","P0.26/AIN0/XL2","left"
10,1,"bidirectional","P0.27/AIN1/XL1","left"
11,1,"bidirectional","P0.28","left"
12,1,"bidirectional","P0.29","left"
13,1,"power_in","GND","bottom"
14,1,"power_in","VDD","bottom"
15,1,"power_in","DCC","bottom"
16,1,"bidirectional","P0.30","bottom"
17,1,"bidirectional","P0.00/AREF0","bottom"
18,1,"bidirectional","P0.01/AIN2","bottom"
19,1,"bidirectional","P0.02/AIN3","bottom"
20,1,"bidirectional","P0.03/AIN4","bottom"
21,1,"bidirectional","P0.04/AIN5","bottom"
22,1,"bidirectional","P0.05/AIN6","bottom"
23,1,"bidirectional","P0.06/AIN7/AREF1","bottom"
24,1,"bidirectional","P0.07","bottom"
25,1,"power_in","GND","bottom"
26,1,"bidirectional","P0.08","right"
27,1,"bidirectional","P0.09","right"
28,1,"bidirectional","P0.10","right"
29,1,"bidirectional","P0.11","right"
30,1,"bidirectional","P0.12","right"
31,1,"bidirectional","P0.13","right"
32,1,"bidirectional","P0.14","right"
33,1,"bidirectional","P0.15","right"
34,1,"bidirectional","P0.16","right"
35,1,"bidirectional","SWDIO/RESET","right"
36,1,"input","SWDCLK","right"
37,1,"bidirectional","P0.17","right"
38,1,"bidirectional","P0.18","right"
39,1,"bidirectional","P0.19","right"
40,1,"bidirectional","P0.20","right"
41,1,"power_in","DEC2","right"
42,1,"power_in","GND","right"
